Materialnummer,Kurztext,Einkaufsbestelltext
436,Kettenrad KR90D100 Z10 d=85H7,"Kettenrad
KR90D100
Z = 10
10 Zähne, Zahnbreite 11 mm, nach oben verlängert
Rollendurchmesser 45mm
Nabengesamtlänge 71 mm, einseitig
Nabendurchmesser 130mm
aus S152-3, ungehärtet, mit Bohrung 85H7 ohne Nut"
437,GT-Motor 404157,"Getriebemotor
Hersteller: OTT
Typbezeichnung: 404157
Antriebsmoment (ma x ): 4,00 NM
Antriebsmoment (nenn): 0,50 NM
N1 Antriebsdrehzahl: 540,00 1/min
Spannung [50Hz]: 24
Schutzart: IP30-Fremdkörp>2,5 mm/kein Wass
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: Unbekannt
Motorvollschutz (Thermofühler): Nein"
438,Wellendichtring 35x65x10 BASL,"Wellendichtring
35x65x10
BASL"
439,Mutter M36 ISO4032 5.2 schwarz.,"Mutter
M36
ISO4032
5.2
schwarz"
440,Lager 180x225x22mm 61836 SKF,"Lager
180x225x22mm
61836
SKF"
441,Schraube M12x100 DIN 603 8.8 verzinkt.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x100
8.8
verzinkt"
442,GT-Motor WAF30DRN80MK4TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: WAF30DRN80MK4TH
Leistung [kW]: 0,550 kW
N1 Antriebsdrehzahl: 1.435,00 1/min
N2 Abtriebsdrehzahl: 175,00 1/min
Getriebeübersetzung i: 8,200
Spannung [50Hz]: 220-240D/380-415Y
Bauform: M5A
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
443,Servomotor 1FK71035AF711AH3Z,"Servomotor
Hersteller SIEMENS
Typbezeichnung 1FK71035AF711AH3Z
Antriebsdrehzahl N1 3.000,00 1/min
Antriebsmoment 36,00 NM
Isolierklasse F
Schutzart IP64"
444,Lager 6313/C4 SKF,"Lager
6313/C4
SKF"
445,GT-Motor KH77DRN100LS4BE5KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77DRN100LS4BE5KCCTF
Leistung [kW]:                  2,200 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          740,00 NM
N1 Antriebsdrehzahl:            1.450,00 1/min
N2 Abtriebsdrehzahl:            28,00 1/min
Getriebeübersetzung i:          51,180
Spannung [50Hz]:                230D/400Y
Bauform:                        M1B
Klemmkastenlage:                Normal
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Motor-Bremse:                   Ja
Bremsgroesse:                   415VAC 28NM
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
446,Schraube M12 x 70 DIN 603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12 x 70
8.8
verzinkt"
447,GT-Motor R147DRN180M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R147DRN180M4
Leistung [kW]: 18,500 kW
Antriebsmoment (max): 13.000,00 NM
Antriebsmoment (nenn): 6.320,00 NM
N1 Antriebsdrehzahl: 1.478,00 1/min
N2 Abtriebsdrehzahl: 28,00 1/min
Getriebeübersetzung i: 52,870
Spannung [50Hz]: 400D/690Y
Bauform: M1
Isolierklasse: Iso-Kl.:B (tmax=130°C)
Schutzart: IP54-Staubablage/Spritzwasser
Energieeffizienzklasse: IE3 Premium Efficiency"
448,Schraube M12x60 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x60
8.8
verzinkt"
449,Servomotor AM8051-1G21-9000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8051-1G21-9000
N1 Antriebsdrehzahl 5,000.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10802210"
450,Schraube M20x130 DIN938 8.8 schw.,"Stiftschraube
M20 x 130
DIN 938
8.8
schwarz"
451,PN-Zylinder ADN-25-40-I-P-A 536265 FESTO,"Kompaktzylinder
ADN-25-40-I-P-A
536265
FESTO"
452,Servomotor AM8043-0H20-0000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8043-0H20-0000
N1 Antriebsdrehzahl 5,000.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10802980"
453,GT-Motor KH67DRN100LS4BE5KCCTFEI7C,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH67DRN100LS4BE5KCCTFEI7C
Leistung [kW]: 2,200 kW
Antriebsmoment (ma x ): 870,00 NM
Antriebsmoment (nenn): 515,00 NM
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 41,00 1/min
Getriebeübersetzung i: 35,620
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP54-Staubablage/Spritzwasser
Motor-Bremse: Ja
Bremsgroesse: 415VAC 20NM
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
454,Servomotor 21586-088.34-3233-1 BUETTNER,"Servomotor
21586-088.34-3233-1
BUETTNER"
455,GT-Motor DRN71M4BE05FTTH,"Getriebemotor
Herstellerteilenummer: XXXX_SIEMPELKAMP
Hersteller: SEW
Typbezeichnung: DRN71M4BE05FTTH
Leistung [kW]: 0,370 kW
Antriebsmoment (ma x ): 56,00 NM
Antriebsmoment (nenn): 19,00 NM
N1 Antriebsdrehzahl: 1.415,00 1/min
Bauform: M1
Schutzart: IP55-Staubablage/Strahlwasser
Bremsgroesse: 24 DC
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
456,Lager 61832 2RSMW SKF,"Rillenkugellager
61832 2RS-MW
SKF"
457,Mutter M36x2 DIN934-8 Feinge.schw,"Sechskantmutter
M36X2 DIN 934-8 Feinge.schw"
458,"Kettenrad B-2 1"" Z16 d=50 mm","Kettenrad
B-2 1"" Z16 geb.50 mm
DIN 8187"
459,Modul 6SN1123-1AA00-0CA1 SIEMENS,Modul 6SN1123-1AA00-0CA1 SIEMENS
460,Schraube M6 x 30 DIN 933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6 x 30
5.6
verzinkt"
461,GT-Motor KH77DRN100L4KCCTF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 KH77DRN100L4KCCTF
Leistung [kW]:                  3,000 kW
Antriebsmoment (max):           1.550,00 NM
Antriebsmoment (nenn):          1.010,00 NM
N1 Antriebsdrehzahl:            1.456,00 1/min
N2 Abtriebsdrehzahl:            28,00 1/min
Getriebeübersetzung i:          51,180
Spannung [50Hz]:                230D/400Y
Bauform:                        M1B
Klemmkastenlage:                180 NORMAL
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
462,GT-Motor R97DRN132M4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R97DRN132M4TF
Leistung [kW]: 7,500 kW
Antriebsmoment (nenn): 1.090,00 NM
N1 Antriebsdrehzahl: 1.468,00 1/min
N2 Abtriebsdrehzahl: 66,00 1/min
Getriebeübersetzung i: 22,370
Spannung [50Hz]: 230D/400Y
Baugröße: 132
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
463,Wellendichtring 35x62x7 HMS5RG SKF,"Wellendichtring
35x62x7
HMS5RG
SKF"
464,Wellendichtring 35 x 62 x 7 B1SL,"Wellendichtring
35 x 62 x 7
B1SL"
465,Radialwellendichtring 35x65x12 BASL,"Radialwellendichtring
35x65x12
BASL"
466,Lager NJ2322ECML SKF,"Radial-Zylinderrollenlager
NJ-2322-ECML
SKF"
467,Mutter M8 DIN 6923 8.8 verz.,"Mutter
M8
DIN 6923
8.8
verzinkt"
468,Lager 3305 A SKF,"Schrägkugellager 2-reihig
3305 A
SKF"
469,GT-Motor SA47DRE90M4,"Getriebemotor
Hersteller: SEW
Typbezeichnung: SA47DRE90M4
Leistung [kW]: 1,100 kW
Antriebsmoment (nenn): 120,00 NM
N1 Antriebsdrehzahl: 1.420,00 1/min
N2 Abtriebsdrehzahl: 73,00 1/min
Getriebeübersetzung i: 19,540
Spannung [50Hz]: 220-242D/380-420Y
Bauform: M1A
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE2 High Efficiency"
470,PN-Zylinder ADN-25-30-A-P-A 536256 FESTO,"Kompaktzylinder
ADN-25-30-A-P-A
536256
FESTO"
471,PN-Zylinder ADN-25-40-A-P-A 536257 FESTO,"Kompaktzylinder
ADN-25-40-A-P-A
536257
FESTO"
472,Servomotor 21586-088.34-3233-1 BUETTNER,"Servomotor
21586-088.34-3233-1
BUETTNER"
473,Lager 22328 CCKC3W33 SKF,"Pendelrollenlager
22328 CCK/C3W33
SKF"
474,Mutter M36 DIN934-8 verz.,"Sechskantmutter
M36 DIN 934-8 verz."
475,Lager 21311 EC3 SKF,"Pendelrollenlager
21311 E C3
SKF"
476,"Getriebe R47A i=12,54","Getriebe
Hersteller: SEW
Typbezeichnung: R87/A
N1 Antriebsdrehzahl: 1.400,00 1/min
N2 Abtriebsdrehzahl: 73,00 1/min
Drehmoment: 520,00 NM
Getriebeübersetzung i: 19,100
Bauform: M1
Getriebeausführung: Stirnradgetriebe"
477,GT-Motor R60DT80K4TF,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R60DT80K4TF
Leistung [kW]:                  0,550 kW
N1 Antriebsdrehzahl:            1.380,00 1/min
N2 Abtriebsdrehzahl:            48,00 1/min
Getriebeübersetzung i:          28,750
Spannung [50Hz]:                220D/380Y
Bauform:                        B3
Isolierklasse:                  Iso-Kl.:B (tmax=130°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motorvollschutz (Thermofühler): Ja"
478,Servomotor 1PH7167-7HG33-0BB3-Z M39,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7167-7HG33-0BB3-Z M39
Leistung [kW]: 40,000 kW
N1 Antriebsdrehzahl: 2.300,00 1/min
Spannung [50Hz]: 400Y
Bauform: B35
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP54-Staubablage/Spritzwasser"
479,"ORing 34,00x3,00mm NBR 90 Shore A","ORing
34,00 x 3,00 mm
WST: NBR
90° Shore A"
480,Lager NU 214 ECJ/C3 SKF,"Zylinderrollenlager
NU 214 ECJ/C3
SKF"
481,Lager 1210 SKF,"Lager
1210
SKF"
482,Wellendichtring 35x62x7 BASL,"Wellendichtring
35x62x7
BASL"
483,GT-Motor KH77TDRN100LS4BE5TH,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KH77TDRN100LS4BE5TH
Leistung [kW]: 2,200 kW
Antriebsmoment (ma x ): 1.550,00 NM
Antriebsmoment (nenn): 1.130,00 NM
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 19,00 1/min
Getriebeübersetzung i: 78,070
Spannung [50Hz]: 230D/400Y
Bauform: M1A
Klemmkastenlage: 180 NORMAL
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Motor-Bremse: Ja
Bremsgroesse: 230VAC 55NM
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
484,"ORing 33,50x2,00mm N 01095200 KSB","ORing
33,5 x 2,0mm
N
01095200
KSB"
485,GT-Motor R67DRN112M4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: R67DRN112M4TFAL
Leistung [kW]: 4,000 kW
Antriebsmoment (max): 550,00 Nm
Antriebsmoment (nenn): 390,00 Nm
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 98,00 1/min
Getriebeübersetzung i: 14,910
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M3
Baugröße: 112M (H=112mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
486,Servomotor 1FK7105-2AF71-1RB0-Z,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1FK7105-2AF71-1RB0-Z
N1 Antriebsdrehzahl: 3.000,00 1/min
N1 Antriebsdrehzahl: 5.000,00 1/min
Antriebsmoment: 26,00 NM
Isolierklasse: Iso-Kl.:F (tma x =155°C)
Schutzart: IP64-Staubdicht/Spritzwasser
Motor-Bremse: 24DC"
487,GT-Motor FA67DRN100LS4TF,"Getriebemotor
Hersteller: SEW
Typbezeichnung: FA67 DRN100LS4/TF
Leistung [kW]: 2,200 kW
Antriebsmoment (max): 495,00 Nm
N1 Antriebsdrehzahl: 1.450,00 1/min
N2 Abtriebsdrehzahl: 43,00 1/min
Getriebeübersetzung i: 34,010
Spannung [50Hz]: 230D/400Y
Bauform: M1
Baugröße: 100L (H=100mm/Gehäuseausf.:L)
Klemmkastenlage: 180° Normal
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
488,"Kette 08A-3 12,7 1/2""x7,85mm DIN 8188","Kette
08A-3
Teilung: 12,7
Teilung: 1/2""
Innere breite: 7,85mm
DIN 8188
ASA 40-3"
489,Schraube M12x70 DIN 603 8.8 verzinkt.,"Flachrundschraube mit Vierkantansatz
DIN 603
M12x70
8.8
verzinkt"
490,Servomotor 1PH71072HF030BB3,"Servomotor
Typbezeichnung                  1PH7107-2HF03-0BB3
Motorleistung                   9,000 kW
Antriebsdrehzahl N1             1.780,00  1/min
Bauform                         B35
Spannung                        400D
Frequenz                        60 Hz
Isolierklasse                   F
Schutzart                       IP54
Motorbremse                     keine Bremse
Motorgeber                      rel HTL 1024 INKU
mit zusätzlichem Wellendichtring im Lagerdeckel versehen"
491,Schraube M12x40 DIN603 8.8 verz.,"Flachrundschraube mit Vierkantansatz
M12x40
DIN 603
8.8
verzinkt"
492,"Mutter M36 x 1,5 DIN 935-1 Stahl schw.","Kronenmutter
M36 x 1,5
DIN 935-1
6 Automatenstahl
schwarz"
493,Schraube M6x30 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 30
DIN 835
8.8
verzinkt"
494,Schraube M12 x 40 DIN 6912 10.9 schw.,"Zylinderschraube mit Innensechskant
M12 x 40
DIN 6912
10.9
schwarz"
495,Keilriemen SPZ 2500 LW OPTIBELT,"Keilriemen
SPZ-2500
Wirklänge 2.500,0 mm
Außenlänge 2.513,0 mm
Innenlänge 2.462,0 mm
OPTIBELT"
496,Schraube M6 x 50 DIN 835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 50
DIN 835
8.8
verzinkt"
497,Servomotor AM8043-0E20-0000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8043-0E20-0000
N1 Antriebsdrehzahl 2,500.00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP54
Art.Nr.: 10765906"
498,"O-Ring 33,30x2,40mm Viton FPM 85 Shore","O-Ring
33,30 x 2,40mm
WST: Viton FKM/FPM
85° Shore"
499,Lager 2208EKTN9C3 SKF,"Lager
2208EKTN9C3
SKF"
500,Servomotor 1FT7108-5SF71-1CB0-Z,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FT7108-5SF71-1CB0-Z
N1 Antriebsdrehzahl:            6.000,00 1/min
Antriebsmoment:                 60,00 NM
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Motor-Bremse:                   24DC"
501,"O-Ring 34,00 x 3,00 mm 70 Shore","O-Ring
34,00 x 3,00 mm
70° Shore"
502,Kettenrad KR16B-1 Z20 G-35/60SK,"Kettenrad KR16B-1 Z=20G-35/60SK
1"" x 17,02 x 15,88 mm
DIN 8187, z=20
passend zur Einfach-Rollenkette DIN 8187,
Typ 16B-1, 20 Zähne,
mit eingefrästen Schmutzkerben,
Nabenlänge 45 mm, symetrisch,
Nabendurchmesser 85 mm, Bohrungsdurchmesser 35 mm H7
15 mm tief, Bohrungsdurchmesser 60 mm H7,
30 mm tief für Ringspannelement 3560, einteilig,
Zähne gehärtet
FB KETTEN"
503,Servomotor 1PH7133-7HF03-0BB3-ZNOYF,"Servomotor
Hersteller: Siemens
Typbezeichnung: 1PH7133-7HF03-0BB3-ZNOYF
Leistung [kW]: 13,500 kW
N1 Antriebsdrehzahl: 1.500,00 1/min
Bauform: B35
Isolierklasse: Iso-Kl.:F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser"
504,Schraube M10x120 DIN 603 4.6 verzinkt.,"Flachrundschraube mit Vierkantansatz
DIN 603
M10x120
4.6
verzinkt"
505,Kettenrad KR16B-1 Z20 G-35/60SK,"Kettenrad KR16B-1 Z=20G-35/60SK
1"" x 17,02 x 15,88mm
DIN 8187, z=20
passend zur Einfach-Rollenkette DIN 8187,
Typ 16B-1, 20 Zähne,
mit eingefrästen Schmutzkerben,
Nabenlänge 45 mm, symetrisch,
Nabendurchmesser 85 mm, Bohrungsdurchmesser 35 mm H7
15mm tief, Bohrungsdurchmesser 60 mm H7,
30 mm tief für Ringspannelement 3560, einteilig,
Zähne gehärtet
FB KETTEN"
506,Schraube M20 x 130 DIN 938 8.8 schw.,"Stiftschraube
M20 x 130
DIN 938
8.8
schwarz"
507,"Mutter M36x1,5 10007871 WEINIG","Mutter
M36 x 1,5
DA58 LG.7
10007871
WEINIG"
508,ORing 330x7mm 70 Shore 15610.0019 JAUDT,"ORing
330,00 x 7,00mm
70° Shore
15610.0019
JAUDT"
509,Mutter M36 DIN 982-8 A2,"Hexagonmutter mit Klemmteil
hohe Form
M36
DIN 982-8
A2
Edelstahl"
510,Radialwellendichtring 35x62x7 B1,"Radialwellendichtring
35x62x7
B1"
511,GT-Motor SA47DRE90M4,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 SA47DRE90M4
Leistung [kW]:                  1,100 kW
Antriebsmoment (nenn):          120,00 NM
N1 Antriebsdrehzahl:            1.420,00 1/min
N2 Abtriebsdrehzahl:            73,00 1/min
Getriebeübersetzung i:          19,540
Spannung [50Hz]:                220-242D/380-420Y
Bauform:                        M1A
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser
Energieeffizienzklasse:         IE2 High Efficiency"
512,Wellendichtring 35 x 62 x 7 BASL,"Wellendichtring
35 x 62 x 7
BASL"
513,Servomotor 1FK71035AF811YY3Z,"Servomotor
Hersteller KUKA
Typbezeichnung 1FK7103-5AF81 1YY3-Z
Leistung 6,900 kW
N1 Antriebsdrehzahl 3.000 1/min
Drehzahl max. 5.000 1/min
Spannung 156 V
Nennstrom 17 A
Isolierklasse F
Schutzart IP65
Art.Nr.: 131492"
514,Servomotor 1FL60421AF612AA1,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1FL6042-1AF61-2AA1
Leistung [kW]:                  0,400 kW
Leistung [PS]:                  0,540 PS
N1 Antriebsdrehzahl:            3.000,00 1/min
N1 Antriebsdrehzahl max.:       4.000,00 1/min
Antriebsmoment:                 1,90 Nm
Antriebsmoment max.:            3,80 Nm
Spannung [50Hz]:                400 V
Bauform:                        B5
Isolierklasse:                  Iso-Kl.: B (tmax=130°C)
Schutzart:                      IP65-Staubdicht/Strahlwasser"
515,"Mutter M36x1,5 10007871 WEINIG","Mutter
M36 x 1,5
DA58 LG.7
10007871
WEINIG"
516,Lager 215x170x22mm 61834 SKF,"Lager
215x170x22mm
61834
SKF"
517,"Getriebe R77A i=7,74 SEW","Getriebe
Hersteller: SEW
Typbezeichnung: R77A
N1 Antriebsdrehzahl: 1.400,00 1/min
N2 Abtriebsdrehzahl: 181,00 1/min
Drehmoment: 610,00 NM
Getriebeübersetzung i: 7,740
Bauform: M1
Getriebeausführung: Stirnradgetriebe"
518,Schraube M6x25 DIN 933 5.6 verzinkt.,"Hexagonschraube mit Gewinde bis Kopf
DIN 933
M6x25
5.6
verzinkt"
519,Getriebe K2L30080WP71111LUR,"Getriebe
Getriebehersteller NOVENTAS
Getriebetyp K2L30080WP71111LUR
Herstellerserialnummer 01991249
Antriebsmoment (ma x ) 45.000,00 NM
Übersetzung i 71,900
Vorpressengetriebe K2L 30080 WP 71- 111/LUR
Technische Daten:
Antriebsmotor: 1PH7 224 (Siemens)
Motorleistung: 110 KW
Motorendrehzahl: 1750 min^-1
Min. Motordrehzahl: 51,42 min^-1
Ma x Motordrehzahl: 2571 min^-1
Feldschwächung
Getriebeuntersetzung I:71,9
Min. Abtriebsdrehzahl n2: 0,72 min^-1
Ma x . Abtriebsdrehzahl n2: 35,76 min^-1
Abtriebsmoment T2n: 40981 NM
Ma x . Anfahrmoment T2n:40981 NM
Einbaulage: Waagerecht
Incl. Hohlwelle D=150 mm/140 mm
Schrumpfscheibe
Befestigungsflansch fuer Momentenstuetze
(Ausführung wie A441.03.60)
Anschlussmasse Drehmomentstuetze:
Mass von Aussenkante Schrumpfscheibe bis Anschraubflaeche
Drehmomentstuetze:150 mm
Aussendurchmesser: 540 mm
Lochkreisdurchmesser: 510 mm
Bohrungsdurchmesser: 18 mm
Teilung:24 X 15 Grad
Zentrierdurchmesser: 460 mm
Drehmomentstuetze Lieferumfang SICO
Getriebeausführung bei Blick auf Hohlwelle:
Anbau Motor / Bremse : links
Drehrichtung : rechts
Bremsenhersteller: Deutsche van Rietschoten u. Houwens
Bremszange: 100.406.01(100 prozent Feder/280NM)
Bremsscheibe : D348 x 12,7 mm
Bremsenansteuerung: SK 9769/Ventilspannung 24V DC
Ueberwachungseinheit: SK0303/Initiator Fa. Pepperl und Fuchs 24VDC
Oelschmierung: Klüber Syntheso D100 EP
Geeignet fuer den Betrieb in Zone 22 nach EN 1127
Geraetekennzeichnung: II3D
Ma x . zulaessige Oberflaechentemperatur: 205 Grad C
No: W11351
Ident.Nr.:01991249
Auftragsnummer: 7070360/V8223801
Siempelkamp Teilenummer1: 01991249"
520,Schraube M6 x 25 DIN 933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6 x 25
5.6
verzinkt"
521,Servomotor 1FT60621AH713AH1,"Synchron-Servomotor Drehantrieb
Hersteller                     SIEMENS
Typbezeichnung                 1FT6062-1AH71-3AH1
Mo:                            5,0 / 6,0Nm
Mh:                            3,6Nm
Antriebsdrehzahl N1            4.500,00 1/min
Spannung                       288V
Motorbremse                    24V / 17W"
522,O-Ring 330 x 7 mm 70 Shore 15610.0019 JAUDT,"O-Ring
330,00 x 7,00 mm
70° Shore
15610.0019
JAUDT"
523,Lager 22316 EKC3W33 SKF,"Lager
22316 EKC3W33
SKF"
524,Getriebe K2L30080WP71111LUR,"Getriebe
Getriebehersteller NOVENTAS
Getriebetyp K2L30080WP71111LUR
Herstellerserialnummer 01991249
Antriebsmoment (max) 45.000,00 NM
Übersetzung i 71,900
Vorpressengetriebe K2L 30080 WP 71- 111/LUR
Technische Daten:
Antriebsmotor: 1PH7 224 (Siemens)
Motorleistung: 110 KW
Motorendrehzahl: 1750 min^-1
Min. Motordrehzahl: 51,42 min^-1
Max Motordrehzahl: 2571 min^-1
Feldschwächung
Getriebeuntersetzung I:71,9
Min. Abtriebsdrehzahl n2: 0,72 min^-1
Max. Abtriebsdrehzahl n2: 35,76 min^-1
Abtriebsmoment T2n: 40981 NM
Max. Anfahrmoment T2n:40981 NM
Einbaulage: Waagerecht
Incl. Hohlwelle D=150mm/140mm
Schrumpfscheibe
Befestigungsflansch fuer Momentenstuetze
(Ausführung wie A441.03.60)
Anschlussmasse Drehmomentstuetze:
Mass von Aussenkante Schrumpfscheibe bis Anschraubflaeche
Drehmomentstuetze:150 mm
Aussendurchmesser: 540mm
Lochkreisdurchmesser: 510mm
Bohrungsdurchmesser: 18mm
Teilung:24 X 15 Grad
Zentrierdurchmesser: 460mm
Drehmomentstuetze Lieferumfang SICO
Getriebeausführung bei Blick auf Hohlwelle:
Anbau Motor / Bremse : links
Drehrichtung : rechts
Bremsenhersteller: Deutsche van Rietschoten u. Houwens
Bremszange: 100.406.01(100 prozent Feder/280NM)
Bremsscheibe : D348 x 12,7 mm
Bremsenansteuerung: SK 9769/Ventilspannung 24V DC
Ueberwachungseinheit: SK0303/Initiator Fa. Pepperl und Fuchs 24VDC
Oelschmierung: Klüber Syntheso D100 EP
Geeignet fuer den Betrieb in Zone 22 nach EN 1127
Geraetekennzeichnung: II3D
Max. zulaessige Oberflaechentemperatur: 205 Grad C
No: W11351
Ident.Nr.:01991249
Auftragsnummer: 7070360/V8223801
Siempelkamp Teilenummer1: 01991249"
525,Lager NU320ECJ SKF,"Lager
NU320ECJ
SKF"
526,"Kettenrad B-2 1"" Z16 d=75 mm","Kettenrad
B-2 1""
Z = 16
geb.75 mm
DIN 8187"
527,PN-Zylinder ADN-25-25-I-P-A 536263 FESTO,"Kompaktzylinder
ADN-25-25-I-P-A
536263
FESTO"
528,Servomotor 373E11Z2006S21,"Servomotor
Hersteller BAELZ
Typbezeichnung 373 E11 Z-20-06-S21
Antriebsmoment 2000 Nm
Antriebsdrehzahl 6 mm/min
Spannung 230 V - 115 V
Isolierklasse 0-50°C - 0-75°C
Schutzart IP44"
529,Schraube M20 x 260 DIN 931 8.8 verz.,"Sechskantschraube mit Schaft
M20 x 260
DIN 931
8.8
verzinkt"
530,Servomotor 5/2.720.001.002,"Servomotor
Herstellerteilenummer: XXX_ESITRON
Hersteller: ESITRON
Typbezeichnung: 5/2.720.001.002
N1 Antriebsdrehzahl: 3.000,00 1/min
Antriebsmoment: 0,50 NM
Spannung: 48V DC"
531,Servomotor AG04B,"Servomotor
Hersteller PSE
Typbezeichnung AG04B
Leistung 0,160 kW
Spannung [50Hz] 24V DC
Strom 6,6 A"
532,Lager NJ2322ECML SKF,"Radial-Zylinderrollenlager
NJ-2322-ECML
SKF"
533,GT-Motor R77DRN100L4TFEK8R,"Getriebemotor
Hersteller:                     SEW
Typbezeichnung:                 R77DRN100L4TFEK8R
Leistung [kW]:                  3,000 kW
Antriebsmoment (max):           420,00 Nm
Antriebsmoment (nenn):          820,00 Nm
N1 Antriebsdrehzahl:            1.456,00 1/min
N2 Abtriebsdrehzahl:            82,00 1/min
Getriebeübersetzung i:          21,430
Spannung [50Hz]:                220-230D/380-400Y
Bauform:                        M3
Baugröße:                       100L (H=100mm/Gehäuseausf.:L)
Isolierklasse:                  Iso-Kl.: F (tmax=155°C)
Schutzart:                      IP54-Staubablage/Spritzwasser
Fremdlüfter:                    Nein
Motor-Bremse:                   Nein
Energieeffizienzklasse:         IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
534,Mutter M8 DIN 6334 L=24 mm verz.,"Verlängerungsmutter 3d hoch
M8 L = 24 mm
DIN 6334
Automatenstahl
verzinkt"
535,Keilriemen SPZ 2500 LW OPTIBELT,"Keilriemen
SPZ-2500
Wirklänge                      2.500,0 mm
Außenlänge                     2.513,0 mm
Innenlänge                     2.462,0 mm
OPTIBELT"
